GridID,TimeInterval,DataCount
14.0,2012-11-01 00:20:00-2012-11-01 00:40:00,3
14.0,2012-11-01 00:40:00-2012-11-01 01:00:00,3
14.0,2012-11-01 01:00:00-2012-11-01 01:20:00,3
14.0,2012-11-01 02:20:00-2012-11-01 02:40:00,2
14.0,2012-11-01 02:40:00-2012-11-01 03:00:00,1
14.0,2012-11-01 03:20:00-2012-11-01 03:40:00,1
14.0,2012-11-01 05:00:00-2012-11-01 05:20:00,7
14.0,2012-11-01 05:20:00-2012-11-01 05:40:00,2
14.0,2012-11-01 05:40:00-2012-11-01 06:00:00,1
14.0,2012-11-01 06:00:00-2012-11-01 06:20:00,6
14.0,2012-11-01 06:20:00-2012-11-01 06:40:00,6
14.0,2012-11-01 06:40:00-2012-11-01 07:00:00,11
14.0,2012-11-01 07:00:00-2012-11-01 07:20:00,9
14.0,2012-11-01 07:20:00-2012-11-01 07:40:00,15
14.0,2012-11-01 07:40:00-2012-11-01 08:00:00,6
14.0,2012-11-01 08:00:00-2012-11-01 08:20:00,6
14.0,2012-11-01 08:20:00-2012-11-01 08:40:00,16
14.0,2012-11-01 08:40:00-2012-11-01 09:00:00,16
14.0,2012-11-01 09:00:00-2012-11-01 09:20:00,15
14.0,2012-11-01 09:20:00-2012-11-01 09:40:00,13
14.0,2012-11-01 09:40:00-2012-11-01 10:00:00,16
14.0,2012-11-01 10:00:00-2012-11-01 10:20:00,18
14.0,2012-11-01 10:20:00-2012-11-01 10:40:00,14
14.0,2012-11-01 10:40:00-2012-11-01 11:00:00,12
14.0,2012-11-01 11:00:00-2012-11-01 11:20:00,14
14.0,2012-11-01 11:20:00-2012-11-01 11:40:00,16
14.0,2012-11-01 11:40:00-2012-11-01 12:00:00,27
14.0,2012-11-01 12:00:00-2012-11-01 12:20:00,11
14.0,2012-11-01 12:20:00-2012-11-01 12:40:00,20
14.0,2012-11-01 12:40:00-2012-11-01 13:00:00,20
14.0,2012-11-01 13:00:00-2012-11-01 13:20:00,27
14.0,2012-11-01 13:20:00-2012-11-01 13:40:00,11
14.0,2012-11-01 13:40:00-2012-11-01 14:00:00,12
14.0,2012-11-01 14:00:00-2012-11-01 14:20:00,16
14.0,2012-11-01 14:20:00-2012-11-01 14:40:00,16
14.0,2012-11-01 14:40:00-2012-11-01 15:00:00,16
14.0,2012-11-01 15:00:00-2012-11-01 15:20:00,11
14.0,2012-11-01 15:20:00-2012-11-01 15:40:00,19
14.0,2012-11-01 15:40:00-2012-11-01 16:00:00,20
14.0,2012-11-01 16:00:00-2012-11-01 16:20:00,15
14.0,2012-11-01 16:20:00-2012-11-01 16:40:00,12
14.0,2012-11-01 16:40:00-2012-11-01 17:00:00,11
14.0,2012-11-01 17:00:00-2012-11-01 17:20:00,14
14.0,2012-11-01 17:20:00-2012-11-01 17:40:00,20
14.0,2012-11-01 17:40:00-2012-11-01 18:00:00,21
14.0,2012-11-01 18:00:00-2012-11-01 18:20:00,12
